"species","organ","metabolite","concentration_ppm","stError_ppm"
"multicularis","shoots","chrysinG",0.593739440756753,NA
"multicularis","shoots","hispidulin",0,NA
"multicularis","shoots","chrysin",0,NA
"multicularis","shoots","scutellarin",5.212022120003,NA
"oblonga","leaves","acteoside",0,NA
"oblonga","leaves","baicalin",0.692076488651549,NA
"oblonga","leaves","oroxyloside",0.86575786285851,NA
"oblonga","leaves","wogonoside",0,NA
"oblonga","leaves","apigenin",0,NA
"oblonga","leaves","baicalein",0,NA
"oblonga","leaves","wogonin",0,NA
"oblonga","leaves","oroxylinA",0,NA
"oblonga","leaves","hispidulinG",0,NA
"oblonga","leaves","apigeninG",0,NA
"oblonga","leaves","isoscutellarin",0,NA
"oblonga","leaves","scutellarein",0,NA
"oblonga","leaves","chrysinG",0,NA
"oblonga","leaves","hispidulin",0,NA
"oblonga","leaves","chrysin",0,NA
"oblonga","leaves","scutellarin",1.05010046228797,NA
"heterophylla","roots","acteoside",1.15547857525565,NA
"heterophylla","roots","baicalin",18.942365983182,NA
"heterophylla","roots","oroxyloside",5.27947817302388,NA
"heterophylla","roots","wogonoside",7.56062971978606,NA
"heterophylla","roots","apigenin",0,NA
"heterophylla","roots","baicalein",0.708566895838385,NA
"heterophylla","roots","wogonin",0.51621748811021,NA
"heterophylla","roots","oroxylinA",0.131258538890367,NA
"heterophylla","roots","hispidulinG",0,NA
"heterophylla","roots","apigeninG",0,NA
"heterophylla","roots","isoscutellarin",0,NA
"heterophylla","roots","scutellarein",0,NA
"heterophylla","roots","chrysinG",0,NA
"heterophylla","roots","hispidulin",0,NA
"heterophylla","roots","chrysin",0,NA
"heterophylla","roots","scutellarin",0,NA
"heydei","leaves","acteoside",5.52118064337856,NA
"heydei","leaves","baicalin",0.449371064234285,NA
"heydei","leaves","oroxyloside",0,NA
"heydei","leaves","wogonoside",0,NA
"heydei","leaves","apigenin",0,NA
"heydei","leaves","baicalein",0,NA
"heydei","leaves","wogonin",0,NA
"heydei","leaves","oroxylinA",0,NA
"heydei","leaves","hispidulinG",0,NA
"heydei","leaves","apigeninG",0.208408440557553,NA
"heydei","leaves","isoscutellarin",0,NA
"heydei","leaves","scutellarein",0,NA
"heydei","leaves","chrysinG",3.58228352354809,NA
"heydei","leaves","hispidulin",0,NA
"heydei","leaves","chrysin",0.193969572603066,NA
"heydei","leaves","scutellarin",6.78534042336654,NA
"javanica","leaves","acteoside",0,NA
"javanica","leaves","baicalin",0,NA
"javanica","leaves","oroxyloside",0,NA
"javanica","leaves","wogonoside",0,NA
"javanica","leaves","apigenin",0.0709327499788952,NA
"javanica","leaves","baicalein",0,NA
"javanica","leaves","wogonin",0,NA
"javanica","leaves","oroxylinA",0,NA
"javanica","leaves","hispidulinG",0,NA
"javanica","leaves","apigeninG",0.337344828306118,NA
"javanica","leaves","isoscutellarin",0,NA
"javanica","leaves","scutellarein",0,NA
"javanica","leaves","chrysinG",0,NA
"javanica","leaves","hispidulin",0.495970619138822,NA
"javanica","leaves","chrysin",0,NA
"javanica","leaves","scutellarin",0,NA
"pinnatifida","shoots","acteoside",1.38200225277879,NA
"pinnatifida","shoots","baicalin",0,NA
"pinnatifida","shoots","oroxyloside",0,NA
"pinnatifida","shoots","wogonoside",0,NA
"pinnatifida","shoots","apigenin",0.436804325691882,NA
"pinnatifida","shoots","baicalein",0,NA
"pinnatifida","shoots","wogonin",0,NA
"pinnatifida","shoots","oroxylinA",0,NA
"pinnatifida","shoots","hispidulinG",0,NA
"pinnatifida","shoots","apigeninG",8.51338315773164,NA
"pinnatifida","shoots","isoscutellarin",0,NA
"pinnatifida","shoots","scutellarein",0,NA
"pinnatifida","shoots","chrysinG",0.150596659346181,NA
"pinnatifida","shoots","hispidulin",0.0544833686478925,NA
"pinnatifida","shoots","chrysin",0,NA
"pinnatifida","shoots","scutellarin",0,NA
"prostrata","shoots","acteoside",0,NA
"prostrata","shoots","baicalin",0.184221220389637,NA
"prostrata","shoots","oroxyloside",0,NA
"prostrata","shoots","wogonoside",0.435649154194016,NA
"prostrata","shoots","apigenin",0.442671509677411,NA
"prostrata","shoots","baicalein",0.164927504098107,NA
"prostrata","shoots","wogonin",0,NA
"prostrata","shoots","oroxylinA",1.06740163050517,NA
"prostrata","shoots","hispidulinG",0,NA
"prostrata","shoots","apigeninG",0,NA
"prostrata","shoots","isoscutellarin",0,NA
"prostrata","shoots","scutellarein",0,NA
"prostrata","shoots","chrysinG",2.09522616126672,NA
"prostrata","shoots","hispidulin",0.182282309579477,NA
"prostrata","shoots","chrysin",10.0167672000155,NA
"prostrata","shoots","scutellarin",0,NA
"peregrina","leaves","acteoside",0,NA
"peregrina","leaves","baicalin",0,NA
"peregrina","leaves","oroxyloside",0,NA
"peregrina","leaves","wogonoside",0,NA
"peregrina","leaves","apigenin",0.220621161917391,NA
"peregrina","leaves","baicalein",0,NA
"peregrina","leaves","wogonin",0,NA
"peregrina","leaves","oroxylinA",0,NA
"peregrina","leaves","hispidulinG",0,NA
"peregrina","leaves","apigeninG",5.28590790224166,NA
"peregrina","leaves","isoscutellarin",0,NA
"peregrina","leaves","scutellarein",0.0499670561286644,NA
"peregrina","leaves","chrysinG",0.695474230000299,NA
"peregrina","leaves","hispidulin",0,NA
"peregrina","leaves","chrysin",0,NA
"peregrina","leaves","scutellarin",5.60922790560401,NA
