,species,organ,metabolite,concentration_ppm,stError_ppm
149,longifolia,all,hispidulinG,0,NA
150,lutilaba,all,hispidulinG,0,NA
151,microphylla,all,hispidulinG,0,NA
152,orientalis,all,hispidulinG,0,NA
153,ovata,all,hispidulinG,0,NA
154,parvula,all,hispidulinG,0,NA
155,potosina,all,hispidulinG,0,NA
156,pulchella,all,hispidulinG,0,NA
157,resinosa,all,hispidulinG,0,NA
158,sapphirina,all,hispidulinG,0,NA
159,serrata,all,hispidulinG,0,NA
160,siphocampuloides,all,hispidulinG,0,NA
161,splendens,all,hispidulinG,0,NA
162,tessellata,all,hispidulinG,0,NA
163,alpina,all,chrysin,1.045958245,NA
164,altissima,all,chrysin,0,NA
165,astinae,all,chrysin,0.542725132,NA
166,coerulea,all,chrysin,0,NA
167,costaricana,all,chrysin,0,NA
168,epilobiifolia,all,chrysin,0.213390533,NA
169,formosa,all,chrysin,0.40188316,NA
170,fruticosa,all,chrysin,14.85722796,NA
171,galericulata,all,chrysin,0,NA
172,holmgreniorum,all,chrysin,0.171436857,NA
173,hookeri,all,chrysin,0,NA
174,isocheila,all,chrysin,0,NA
175,lateriflora,all,chrysin,0,NA
176,longifolia,all,chrysin,0,NA
177,lutilaba,all,chrysin,0,NA
178,microphylla,all,chrysin,1.061865241,NA
179,orientalis,all,chrysin,0.255906874,NA
180,ovata,all,chrysin,0,NA
181,parvula,all,chrysin,0,NA
182,potosina,all,chrysin,0,NA
183,pulchella,all,chrysin,0,NA
184,resinosa,all,chrysin,0.215395026,NA
185,sapphirina,all,chrysin,0.443028005,NA
186,serrata,all,chrysin,0.277815625,NA
187,siphocampuloides,all,chrysin,0.139857309,NA
188,splendens,all,chrysin,0,NA
189,tessellata,all,chrysin,0,NA
190,alpina,all,chrysinG,2.972988842,NA
191,altissima,all,chrysinG,1.290592395,NA
192,astinae,all,chrysinG,31.31214573,NA
193,coerulea,all,chrysinG,0.119004872,NA
194,costaricana,all,chrysinG,0,NA
195,epilobiifolia,all,chrysinG,4.650714826,NA
196,formosa,all,chrysinG,0.464839798,NA
197,fruticosa,all,chrysinG,26.59494116,NA
198,galericulata,all,chrysinG,2.065337651,NA
199,holmgreniorum,all,chrysinG,9.750014767,NA
200,hookeri,all,chrysinG,0,NA
201,isocheila,all,chrysinG,0,NA
202,lateriflora,all,chrysinG,0,NA
203,longifolia,all,chrysinG,0,NA
204,lutilaba,all,chrysinG,0,NA
205,microphylla,all,chrysinG,4.892291775,NA
206,orientalis,all,chrysinG,2.270617378,NA
207,ovata,all,chrysinG,0.540008512,NA
208,parvula,all,chrysinG,9.698860324,NA
209,potosina,all,chrysinG,1.404595827,NA
210,pulchella,all,chrysinG,1.347152808,NA
211,resinosa,all,chrysinG,2.490460124,NA
212,sapphirina,all,chrysinG,27.99512395,NA
